driver_name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Michael Schumacher,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,994.0,1010.0,1026.0,1268.0,1539.0,1619.0,1762.0,1938.0,1982.0,2253.0,2524.0,2859.0,3035.0,3433.0,3446.0,3652.0,3652.0,3652.0,3652.0,3633.0,3646.0,3626.0,3626.0,3626.0,3626.0,3626.0,3626.0,3626.0,3626.0,3626.0,3626.0,3626.0,3626.0
Lewis Hamilton,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1111.0,1253.0,1300.0,1377.0,1454.0,1562.0,1575.0,1908.0,2209.0,2508.0,2776.0,3107.0,3438.0,3774.0,4008.0,3986.0,4026.0
Juan Fangio,1089.0,1177.0,1177.0,1199.0,1377.0,1493.0,1579.0,1700.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0
Alain Prost,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,987.0,1068.0,1116.0,1229.0,1437.0,1581.0,1693.0,1773.0,1981.0,2093.0,2237.0,2318.0,2318.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0
Sebastian Vettel,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1024.0,1038.0,1149.0,1290.0,1623.0,1763.0,2160.0,2141.0,2218.0,2293.0,2433.0,2572.0,2583.0,2566.0,2576.0,2620.0,2620.0
Jack Brabham,1000,1000,1000,1000,1000,1000.0,1000.0,988.0,979.0,1035.0,1187.0,1179.0,1205.0,1218.0,1208.0,1201.0,1311.0,1364.0,1352.0,1344.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0,1363.0
Jackie Stewart,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1022.0,1046.0,1067.0,1143.0,1324.0,1409.0,1579.0,1685.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0
Niki Lauda,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,999.0,999.0,985.0,1034.0,1180.0,1326.0,1407.0,1455.0,1465.0,1465.0,1465.0,1515.0,1500.0,1644.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0,1662.0
Nelson Piquet,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,995.0,1002.0,1084.0,1165.0,1182.0,1263.0,1311.0,1327.0,1439.0,1519.0,1599.0,1679.0,1727.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0
Ayrton Senna,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1017.0,1065.0,1113.0,1161.0,1401.0,1577.0,1753.0,1961.0,2041.0,2185.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0
Max Verstappen,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1045.0,1088.0,1132.0,1175.0,1250.0,1297.0,1595.0,2053.0,2349.0